timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 17 27 0.3999999999999986 1.4432899320127035E-15
1 18 19 0.3162277660168382 0.0837722339831618
1 19 20 0.3999999999999999 1.1102230246251565E-16
1 20 21 0.31622776601683866 0.08377223398316136
1 21 22 0.3999999999999999 1.1102230246251565E-16
1 22 23 0.3999999999999999 1.1102230246251565E-16
1 23 24 0.3999999999999999 1.1102230246251565E-16
1 26 27 0.3999999999999999 1.1102230246251565E-16
1 27 28 0.30000000000000004 0.09999999999999998
1 28 29 0.30000000000000004 0.09999999999999998
1 29 30 0.19999999999999996 0.20000000000000007
1 30 31 0.3999999999999999 1.1102230246251565E-16
1 31 32 0.3999999999999999 1.1102230246251565E-16
1 32 33 0.31622776601683866 0.08377223398316136
2 17 27 0.3999999999999986 1.4432899320127035E-15
2 18 19 0.3162277660168382 0.0837722339831618
2 19 20 0.3999999999999999 1.1102230246251565E-16
2 20 21 0.31622776601683866 0.08377223398316136
2 21 22 0.3999999999999999 1.1102230246251565E-16
2 22 23 0.3999999999999999 1.1102230246251565E-16
2 23 24 0.3999999999999999 1.1102230246251565E-16
2 26 27 0.3999999999999999 1.1102230246251565E-16
2 27 28 0.30000000000000004 0.09999999999999998
2 28 29 0.30000000000000004 0.09999999999999998
2 29 30 0.19999999999999996 0.20000000000000007
2 30 31 0.3999999999999999 1.1102230246251565E-16
2 31 32 0.3999999999999999 1.1102230246251565E-16
2 32 33 0.31622776601683866 0.08377223398316136
3 16 28 0.37813574343809664 0.021864256561903384
3 17 28 0.38397585019624697 0.01602414980375305
3 18 19 0.3162277660168382 0.0837722339831618
3 19 20 0.36771622816707256 0.032283771832927466
3 21 22 0.39457727119345737 0.005422728806542654
3 22 23 0.3999999999999999 1.1102230246251565E-16
3 26 28 0.387414347002645 0.012585652997355035
3 27 28 0.3777378434215679 0.022262156578432113
3 32 33 0.31622776601683866 0.08377223398316136
4 16 28 0.37813574343809664 0.021864256561903384
4 17 28 0.38397585019624697 0.01602414980375305
4 26 28 0.387414347002645 0.012585652997355035
4 27 28 0.3777378434215679 0.022262156578432113
5 16 28 0.37813574343809664 0.021864256561903384
5 26 28 0.387414347002645 0.012585652997355035
5 27 28 0.3777378434215679 0.022262156578432113
6 16 28 0.37813574343809664 0.021864256561903384
6 25 35 0.3903217777798278 0.009678222220172228
6 26 28 0.387414347002645 0.012585652997355035
6 27 28 0.3777378434215679 0.022262156578432113
7 20 29 0.3899375955310008 0.010062404468999198
7 28 30 0.3961576870018839 0.003842312998116104
7 29 30 0.39300088276928274 0.006999117230717278
12 22 31 0.39428666742108487 0.0057133325789151534
14 28 30 0.3949220679832025 0.005077932016797515
21 29 30 0.398231679876732 0.0017683201232679968
27 21 22 0.3977447067962968 0.0022552932037032125
