timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
33 19 24 0.3930904720215292 0.006909527978470831
37 5 15 0.3968150338524775 0.0031849661475225055
80 53 60 0.3964742574620086 0.0035257425379914276
119 56 57 0.39014510574298117 0.009854894257018854
122 17 75 0.39675637036804473 0.0032436296319552915
125 85 93 0.39888721455871795 0.0011127854412820715
135 85 99 0.3976071259111835 0.002392874088816499
136 85 99 0.3976071259111835 0.002392874088816499
137 22 47 0.39442072859189375 0.005579271408106268
164 129 132 0.397797539140703 0.0022024608592970396
165 109 126 0.39510076041991865 0.0048992395800813715
167 125 126 0.39085322312365023 0.009146776876349794
181 100 108 0.3926838652757752 0.007316134724224821
198 152 153 0.39539526459774943 0.004604735402250593
209 144 146 0.39955519140717366 4.448085928263623E-4
234 129 139 0.39980108553947385 1.9891446052616724E-4
235 129 139 0.39980108553947385 1.9891446052616724E-4
239 178 183 0.3947879860245602 0.0052120139754398
240 166 170 0.39094440438022693 0.009055595619773094
248 153 168 0.39120356552877283 0.008796434471227188
250 32 81 0.39199425797210236 0.008005742027897667
251 32 81 0.39199425797210236 0.008005742027897667
255 95 124 0.3976714425271816 0.0023285574728184044
263 28 133 0.3960062206200109 0.003993779379989126
264 28 133 0.3960062206200109 0.003993779379989126
288 103 165 0.39682478372664043 0.0031752162733595934
289 103 165 0.39682478372664043 0.0031752162733595934
308 239 242 0.39905888708119075 9.411129188092726E-4
312 243 249 0.39600663186413587 0.00399336813586415
329 183 197 0.3994632496664817 5.367503335182988E-4
332 214 217 0.3978730446538234 0.002126955346176629
332 217 231 0.3960261038971882 0.003973896102811847
356 91 196 0.3959696194203228 0.004030380579677195
357 91 196 0.3959696194203228 0.004030380579677195
358 124 240 0.3890326869264136 0.010967313073586449
360 222 242 0.39144477424188234 0.00855522575811768
365 283 286 0.3985850799399613 0.001414920060038738
370 275 284 0.398280477653478 0.0017195223465220066
371 275 284 0.398280477653478 0.0017195223465220066
374 124 255 0.3924791606701896 0.007520839329810403
387 246 254 0.3997746557344914 2.253442655086313E-4
388 246 254 0.39824822353207356 0.001751776467926458
394 195 214 0.39435253155718786 0.005647468442812165
433 337 345 0.3906079509674044 0.009392049032595606
442 322 329 0.3987692827155557 0.0012307172844443492
442 349 354 0.3995324347859015 4.675652140985198E-4
454 283 318 0.3973534984966532 0.002646501503346832
464 200 211 0.3937705780595097 0.0062294219404903095
464 202 211 0.3991482025434558 8.517974565442343E-4
465 200 211 0.3937705780595097 0.0062294219404903095
487 376 379 0.3889735367502261 0.01102646324977391
488 371 378 0.3949323334059379 0.0050676665940621035
491 283 318 0.3891748547824943 0.010825145217505716
492 366 378 0.3945384885122038 0.005461511487796222
496 378 384 0.39325630738139294 0.006743692618607078
