timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 17 27 0.3999999999999986 1.4432899320127035E-15
1 18 19 0.3162277660168382 0.0837722339831618
1 19 20 0.3999999999999999 1.1102230246251565E-16
1 20 21 0.31622776601683866 0.08377223398316136
1 21 22 0.3999999999999999 1.1102230246251565E-16
1 22 23 0.3999999999999999 1.1102230246251565E-16
1 23 24 0.3999999999999999 1.1102230246251565E-16
1 26 27 0.3999999999999999 1.1102230246251565E-16
1 27 28 0.30000000000000004 0.09999999999999998
1 28 29 0.30000000000000004 0.09999999999999998
1 29 30 0.19999999999999996 0.20000000000000007
1 30 31 0.3999999999999999 1.1102230246251565E-16
1 31 32 0.3999999999999999 1.1102230246251565E-16
1 32 33 0.31622776601683866 0.08377223398316136
2 17 27 0.3999999999999986 1.4432899320127035E-15
2 18 19 0.3162277660168382 0.0837722339831618
2 19 20 0.3999999999999999 1.1102230246251565E-16
2 20 21 0.31622776601683866 0.08377223398316136
2 21 22 0.3999999999999999 1.1102230246251565E-16
2 22 23 0.3999999999999999 1.1102230246251565E-16
2 23 24 0.3999999999999999 1.1102230246251565E-16
2 26 27 0.3999999999999999 1.1102230246251565E-16
2 27 28 0.30000000000000004 0.09999999999999998
2 28 29 0.30000000000000004 0.09999999999999998
2 29 30 0.19999999999999996 0.20000000000000007
2 30 31 0.3999999999999999 1.1102230246251565E-16
2 31 32 0.3999999999999999 1.1102230246251565E-16
2 32 33 0.31622776601683866 0.08377223398316136
3 17 29 0.3617953995321662 0.038204600467833805
3 18 19 0.3162277660168382 0.0837722339831618
3 18 29 0.35479137277764555 0.04520862722235447
3 19 20 0.368367553219838 0.03163244678016203
3 21 22 0.39975349014398603 2.465098560139878E-4
3 21 32 0.3994523218296641 5.476781703359079E-4
3 24 35 0.3991255671092176 8.744328907824284E-4
3 26 27 0.3988637101451752 0.0011362898548248346
3 27 28 0.36960267881341596 0.03039732118658406
3 27 29 0.35537078455593435 0.04462921544406567
3 28 29 0.37216297679684684 0.027837023203153177
3 32 33 0.392293490174171 0.007706509825829044
4 17 29 0.3786724786542283 0.021327521345771705
4 18 19 0.3951342945239076 0.004865705476092441
4 18 28 0.3936193145035229 0.006380685496477134
4 18 29 0.3970529383898823 0.002947061610117707
4 19 20 0.368367553219838 0.03163244678016203
4 19 29 0.37944657500406936 0.020553424995930658
4 26 27 0.3988637101451752 0.0011362898548248346
4 27 28 0.36960267881341596 0.03039732118658406
5 18 19 0.3951342945239076 0.004865705476092441
5 18 28 0.3936193145035229 0.006380685496477134
5 19 29 0.39821554821519367 0.0017844517848063512
5 20 29 0.3948147315017314 0.005185268498268614
5 21 22 0.3906393911054791 0.00936060889452095
5 26 27 0.39350291459192965 0.006497085408070369
5 29 30 0.39751295481743587 0.0024870451825641515
6 18 19 0.3951342945239076 0.004865705476092441
6 18 28 0.3936193145035229 0.006380685496477134
6 19 29 0.39821554821519367 0.0017844517848063512
6 20 29 0.3948147315017314 0.005185268498268614
6 26 27 0.39350291459192965 0.006497085408070369
6 29 30 0.39751295481743587 0.0024870451825641515
7 18 19 0.3951342945239076 0.004865705476092441
7 18 28 0.3936193145035229 0.006380685496477134
7 26 27 0.39350291459192965 0.006497085408070369
8 18 19 0.3951342945239076 0.004865705476092441
8 18 28 0.3936193145035229 0.006380685496477134
16 22 31 0.3999814499354105 1.8550064589506476E-5
24 19 32 0.397727241475023 0.0022727585249770477
28 24 35 0.3968561069491394 0.0031438930508606022
29 24 35 0.3968561069491394 0.0031438930508606022
30 24 35 0.3968561069491394 0.0031438930508606022
31 24 35 0.3968561069491394 0.0031438930508606022
32 24 35 0.3968561069491394 0.0031438930508606022
33 24 35 0.3968561069491394 0.0031438930508606022
34 19 32 0.39476014992311725 0.005239850076882768
34 24 35 0.3968561069491394 0.0031438930508606022
35 24 35 0.3968561069491394 0.0031438930508606022
36 24 35 0.3968561069491394 0.0031438930508606022
37 24 35 0.3968561069491394 0.0031438930508606022
38 24 35 0.3968561069491394 0.0031438930508606022
39 24 35 0.3968561069491394 0.0031438930508606022
40 24 35 0.3968561069491394 0.0031438930508606022
41 24 35 0.3968561069491394 0.0031438930508606022
42 24 35 0.3968561069491394 0.0031438930508606022
43 24 35 0.3968561069491394 0.0031438930508606022
44 24 35 0.3968561069491394 0.0031438930508606022
45 24 35 0.3968561069491394 0.0031438930508606022
46 24 35 0.3968561069491394 0.0031438930508606022
47 24 35 0.3968561069491394 0.0031438930508606022
48 24 35 0.3968561069491394 0.0031438930508606022
49 24 35 0.3968561069491394 0.0031438930508606022
50 24 35 0.3968561069491394 0.0031438930508606022
51 24 35 0.3968561069491394 0.0031438930508606022
52 24 35 0.3968561069491394 0.0031438930508606022
53 24 35 0.3968561069491394 0.0031438930508606022
54 24 35 0.3968561069491394 0.0031438930508606022
55 24 35 0.3968561069491394 0.0031438930508606022
56 24 35 0.3968561069491394 0.0031438930508606022
57 24 35 0.3968561069491394 0.0031438930508606022
58 24 35 0.3968561069491394 0.0031438930508606022
59 24 35 0.3968561069491394 0.0031438930508606022
60 24 35 0.3968561069491394 0.0031438930508606022
61 24 35 0.3968561069491394 0.0031438930508606022
62 24 35 0.3968561069491394 0.0031438930508606022
63 24 35 0.3968561069491394 0.0031438930508606022
64 24 35 0.3968561069491394 0.0031438930508606022
65 24 35 0.3968561069491394 0.0031438930508606022
66 24 35 0.3968561069491394 0.0031438930508606022
67 24 35 0.3968561069491394 0.0031438930508606022
68 24 35 0.3968561069491394 0.0031438930508606022
69 24 35 0.3968561069491394 0.0031438930508606022
70 24 35 0.3968561069491394 0.0031438930508606022
71 24 35 0.3968561069491394 0.0031438930508606022
72 24 35 0.3968561069491394 0.0031438930508606022
73 18 28 0.3977933565412921 0.002206643458707913
73 24 35 0.3968561069491394 0.0031438930508606022
74 24 35 0.3968561069491394 0.0031438930508606022
75 24 35 0.3968561069491394 0.0031438930508606022
76 24 35 0.3968561069491394 0.0031438930508606022
77 24 35 0.3968561069491394 0.0031438930508606022
78 24 35 0.3968561069491394 0.0031438930508606022
79 24 35 0.3968561069491394 0.0031438930508606022
80 23 33 0.3977570474852735 0.002242952514726504
80 24 35 0.3968561069491394 0.0031438930508606022
81 23 33 0.3977570474852735 0.002242952514726504
81 24 35 0.3968561069491394 0.0031438930508606022
82 23 33 0.3977570474852735 0.002242952514726504
82 24 35 0.3968561069491394 0.0031438930508606022
83 23 33 0.3977570474852735 0.002242952514726504
83 24 35 0.3968561069491394 0.0031438930508606022
84 23 33 0.3977570474852735 0.002242952514726504
84 24 35 0.3968561069491394 0.0031438930508606022
85 23 33 0.3977570474852735 0.002242952514726504
85 24 35 0.3968561069491394 0.0031438930508606022
86 23 33 0.3977570474852735 0.002242952514726504
86 24 35 0.3968561069491394 0.0031438930508606022
87 23 33 0.3977570474852735 0.002242952514726504
87 24 35 0.3968561069491394 0.0031438930508606022
88 23 33 0.3977570474852735 0.002242952514726504
88 24 35 0.3968561069491394 0.0031438930508606022
89 23 33 0.3977570474852735 0.002242952514726504
89 24 35 0.3968561069491394 0.0031438930508606022
90 23 33 0.3977570474852735 0.002242952514726504
90 24 35 0.3968561069491394 0.0031438930508606022
91 23 33 0.3977570474852735 0.002242952514726504
91 24 35 0.3968561069491394 0.0031438930508606022
92 23 33 0.3977570474852735 0.002242952514726504
92 24 35 0.3968561069491394 0.0031438930508606022
93 20 21 0.39736359053568737 0.00263640946431265
93 23 33 0.3977570474852735 0.002242952514726504
93 24 35 0.3968561069491394 0.0031438930508606022
94 20 21 0.39736359053568737 0.00263640946431265
